class_overlap,ece_cal,ece_improvement,ece_raw,env_burst,filename,label_noise,macro_f1,model,seed,stress_score,temperature,macro_f1_processed,ece_raw_log,ece_cal_log,temperature_winsorized
0.0,0.0,100.0,0.0007226467132568359,0.0,paperA_bilstm_hard_s0_cla0p0_env0p0_lab0p0.json,0.0,1.0,bilstm,0,0.0,0.45233866572380066,1.0,0.0007223857298457129,0.0,0.45233866572380066
0.0,5.960464477539063e-08,99.98562392179413,0.0004146099090576172,0.0,paperA_bilstm_hard_s0_cla0p0_env0p0_lab0p05.json,0.05,1.0,bilstm,0,0.05,0.48995092511177063,1.0,0.00041452398211922576,5.960464299903386e-08,0.48995092511177063
0.0,0.0,100.0,0.000637352466583252,0.0,paperA_bilstm_hard_s0_cla0p0_env0p0_lab0p1.json,0.1,1.0,bilstm,0,0.1,0.45604565739631653,1.0,0.0006371494437600733,0.0,0.45604565739631653
0.0,0.0001809143821398417,78.74059815614174,0.000850985288619995,0.1,paperA_bilstm_hard_s0_cla0p0_env0p1_lab0p0.json,0.0,0.9996587732969855,bilstm,0,0.1,0.4549716114997864,0.9996587732969855,0.0008506234059292825,0.00018089801910651813,0.4549716114997864
0.0,0.0006056865255037944,35.137521059421864,0.0009338010748227436,0.1,paperA_bilstm_hard_s0_cla0p0_env0p1_lab0p05.json,0.05,0.9996740458936582,bilstm,0,0.15000000000000002,0.877605140209198,0.9996740458936582,0.0009333653538291309,0.0006055031714531889,0.877605140209198
0.0,0.0003326535224914551,-38.93452825491661,0.00023943185806274414,0.1,paperA_bilstm_hard_s0_cla0p0_env0p1_lab0p1.json,0.1,0.9996446791715372,bilstm,0,0.2,0.4591478407382965,0.9996446791715372,0.00023940319882994742,0.00033259820557568,0.4591478407382965
0.0,0.0003995771010716756,36.037528108091045,0.0006247055331865946,0.2,paperA_bilstm_hard_s0_cla0p0_env0p2_lab0p0.json,0.0,0.9996665050259602,bilstm,0,0.2,0.35463839769363403,0.9996665050259602,0.0006245104859121779,0.00039949729140119523,0.35463839769363403
0.0,0.0003305673599243164,-3.242329131556291,0.0003201858798662821,0.2,paperA_bilstm_hard_s0_cla0p0_env0p2_lab0p05.json,0.05,0.9996663438213629,bilstm,0,0.25,0.31713196635246277,0.9996663438213629,0.0003201346313065342,0.0003305127345725001,0.31713196635246277
0.0,0.0003331303596496582,-446.4778302806145,6.095953782399496e-05,0.2,paperA_bilstm_hard_s0_cla0p0_env0p2_lab0p1.json,0.1,0.9996733577294279,bilstm,0,0.30000000000000004,0.3545169234275818,0.9996733577294279,6.095767986687552e-05,0.00033307488405146006,0.3545169234275818
0.4,0.008298082907994588,19.433875973166828,0.010299717168013254,0.0,paperA_bilstm_hard_s0_cla0p4_env0p0_lab0p0.json,0.0,0.9247861658862754,bilstm,0,0.4,1.0330482721328735,0.9247861658862754,0.010247036502993316,0.008263843104102032,1.0330482721328735
0.4,0.009058992822964988,38.960437680215044,0.014841182470321656,0.0,paperA_bilstm_hard_s0_cla0p4_env0p0_lab0p05.json,0.05,0.9261556397013122,bilstm,0,0.45,1.0499796867370605,0.9261556397013122,0.014732129778379652,0.009018206285720294,1.0499796867370605
0.4,0.013518405576546984,-35.18340041737352,0.010000048478444417,0.0,paperA_bilstm_hard_s0_cla0p4_env0p0_lab0p1.json,0.1,0.930097423528615,bilstm,0,0.5,0.9809719920158386,0.930097423528615,0.00995037885162675,0.013427847156017912,0.9809719920158386
0.4,0.008302542984485626,23.665357047147378,0.010876507262388866,0.1,paperA_bilstm_hard_s0_cla0p4_env0p1_lab0p0.json,0.0,0.9259901553902122,bilstm,0,0.5,1.0163898468017578,0.9259901553902122,0.010817783479987575,0.008268266465310772,1.0163898468017578
0.4,0.008068385620911916,-7.737107522435931,0.007488956967989603,0.1,paperA_bilstm_hard_s0_cla0p4_env0p1_lab0p05.json,0.05,0.9261789271804256,bilstm,0,0.55,0.9758704304695129,0.9261789271804256,0.007461053952813934,0.00803601022584172,0.9758704304695129
0.4,0.014365235110123952,8.827291953425469,0.015756069352229438,0.1,paperA_bilstm_hard_s0_cla0p4_env0p1_lab0p1.json,0.1,0.9200245662377042,bilstm,0,0.6,1.1024574041366577,0.9200245662377042,0.015633231110012722,0.014263032731571597,1.1024574041366577
0.4,0.006610051890214284,8.10539468191262,0.007193079362312952,0.2,paperA_bilstm_hard_s0_cla0p4_env0p2_lab0p0.json,0.0,0.9325177204395193,bilstm,0,0.6000000000000001,1.0499796867370605,0.9325177204395193,0.0071673325590968845,0.006588301292991251,1.0499796867370605
0.4,0.015728610932826997,18.16170215822405,0.01921913254261017,0.2,paperA_bilstm_hard_s0_cla0p4_env0p2_lab0p05.json,0.05,0.9341197566241157,bilstm,0,0.6500000000000001,1.0499796867370605,0.9341197566241157,0.01903677777751346,0.015606198251069124,1.0499796867370605
0.4,0.00902924104531606,44.31881903431441,0.0162159654100736,0.2,paperA_bilstm_hard_s0_cla0p4_env0p2_lab0p1.json,0.1,0.937399111262303,bilstm,0,0.7000000000000001,1.1024574041366577,0.937399111262303,0.016085890947676994,0.00898872117485965,1.1024574041366577
0.8,0.018360753456751505,17.319211915928303,0.022206795414288837,0.0,paperA_bilstm_hard_s0_cla0p8_env0p0_lab0p0.json,0.0,0.7089834429711329,bilstm,0,0.8,1.0330482721328735,0.7994167355450921,0.02196381516235475,0.018194230064379768,1.0330482721328735
