filename,label_noise,macro_f1,model,noise_category
paperA_bilstm_hard_s2_cla0p0_env0p1_lab0p1.json,0.1,1.0,bilstm,10%
paperA_bilstm_hard_s2_cla0p0_env0p2_lab0p0.json,0.0,0.999654011273983,bilstm,0%
paperA_bilstm_hard_s2_cla0p0_env0p2_lab0p05.json,0.05,0.9996566521990251,bilstm,5%
paperA_bilstm_hard_s2_cla0p0_env0p2_lab0p1.json,0.1,0.9996695646427212,bilstm,10%
paperA_bilstm_hard_s2_cla0p4_env0p0_lab0p0.json,0.0,0.9347787800192018,bilstm,0%
paperA_bilstm_hard_s2_cla0p4_env0p0_lab0p05.json,0.05,0.928535261141886,bilstm,5%
paperA_bilstm_hard_s2_cla0p4_env0p0_lab0p1.json,0.1,0.9235649011912108,bilstm,10%
paperA_bilstm_hard_s2_cla0p4_env0p1_lab0p0.json,0.0,0.9281169842417797,bilstm,0%
paperA_bilstm_hard_s2_cla0p4_env0p1_lab0p05.json,0.05,0.9293374674159911,bilstm,5%
paperA_bilstm_hard_s2_cla0p4_env0p1_lab0p1.json,0.1,0.9270332531048484,bilstm,10%
paperA_bilstm_hard_s2_cla0p4_env0p2_lab0p0.json,0.0,0.9419923216267665,bilstm,0%
paperA_bilstm_hard_s2_cla0p4_env0p2_lab0p05.json,0.05,0.9725289391615757,bilstm,5%
paperA_bilstm_hard_s2_cla0p4_env0p2_lab0p1.json,0.1,0.9046836924909734,bilstm,10%
paperA_bilstm_hard_s2_cla0p8_env0p0_lab0p0.json,0.0,0.6985182701712257,bilstm,0%
paperA_bilstm_hard_s2_cla0p8_env0p0_lab0p05.json,0.05,0.6987780426029018,bilstm,5%
paperA_bilstm_hard_s2_cla0p8_env0p0_lab0p1.json,0.1,0.6975510070244252,bilstm,10%
paperA_bilstm_hard_s2_cla0p8_env0p1_lab0p0.json,0.0,0.7068032658764103,bilstm,0%
paperA_bilstm_hard_s2_cla0p8_env0p1_lab0p05.json,0.05,0.9122674081878235,bilstm,5%
paperA_bilstm_hard_s2_cla0p8_env0p1_lab0p1.json,0.1,0.9125502292239616,bilstm,10%
paperA_bilstm_hard_s2_cla0p8_env0p2_lab0p0.json,0.0,0.9392723429194243,bilstm,0%
paperA_bilstm_hard_s2_cla0p8_env0p2_lab0p05.json,0.05,0.961618212713174,bilstm,5%
paperA_bilstm_hard_s2_cla0p8_env0p2_lab0p1.json,0.1,0.9604733592196117,bilstm,10%
paperA_bilstm_hard_s3_cla0p0_env0p0_lab0p0.json,0.0,1.0,bilstm,0%
paperA_bilstm_hard_s3_cla0p0_env0p0_lab0p05.json,0.05,1.0,bilstm,5%
paperA_bilstm_hard_s3_cla0p0_env0p0_lab0p1.json,0.1,1.0,bilstm,10%
paperA_bilstm_hard_s3_cla0p0_env0p1_lab0p0.json,0.0,1.0,bilstm,0%
paperA_bilstm_hard_s3_cla0p0_env0p1_lab0p05.json,0.05,1.0,bilstm,5%
paperA_bilstm_hard_s3_cla0p0_env0p1_lab0p1.json,0.1,1.0,bilstm,10%
paperA_bilstm_hard_s3_cla0p0_env0p2_lab0p0.json,0.0,1.0,bilstm,0%
paperA_bilstm_hard_s3_cla0p0_env0p2_lab0p05.json,0.05,0.9996749561970802,bilstm,5%
paperA_bilstm_hard_s3_cla0p0_env0p2_lab0p1.json,0.1,0.9996693589669674,bilstm,10%
paperA_bilstm_hard_s3_cla0p4_env0p0_lab0p0.json,0.0,0.9299684912960042,bilstm,0%
paperA_bilstm_hard_s3_cla0p4_env0p0_lab0p05.json,0.05,0.9191119828652505,bilstm,5%
paperA_bilstm_hard_s3_cla0p4_env0p0_lab0p1.json,0.1,0.9339720428033647,bilstm,10%
paperA_bilstm_hard_s3_cla0p4_env0p1_lab0p0.json,0.0,0.9124165501426575,bilstm,0%
paperA_bilstm_hard_s3_cla0p4_env0p1_lab0p05.json,0.05,0.9254328164855947,bilstm,5%
