activity,dominant_freq_count,se_mean,se_std,temporal_mean,temporal_std
walking,5,0.5163560357351931,0.2720288444049657,0.7172192382199949,0.31304917280716615
sitting,5,0.32583012171097947,0.2571863578377104,0.5057850021013034,0.21017882249691386
standing,5,0.4989709608473245,0.30688241746157235,0.4881749521336306,0.21719375928388845
falling,5,0.5416454791061348,0.28593501963092766,0.23595997776801256,0.28314657536985394
picking_up,5,0.4500851738728324,0.2961708242064389,0.35726781523856677,0.22366470615853137
lying_down,5,0.20600057805134003,0.24304318767529898,0.3551892719169704,0.22743484647410223
