activity,se_entropy,se_mean,se_std,temporal_mean,temporal_peaks,temporal_std
walking,0.30053294691823607,0.7230392285091168,0.30053294691823607,0.7040721544615816,3,0.2211191385881249
sitting,0.2625017460924226,0.22885063468292785,0.2625017460924226,0.3071194750212394,3,0.08219036958755431
standing,0.2635135316398662,0.2523343963613573,0.2635135316398662,0.35675503464786057,3,0.06555682560332027
falling,0.32828322272821886,0.6502574874626352,0.32828322272821886,0.4227775971766412,3,0.2501524104343948
picking_up,0.2864039789256805,0.514963163881422,0.2864039789256805,0.46301692784050574,3,0.18985438174410246
lying_down,0.19330311902163702,0.32121293137251594,0.19330311902163702,0.3425404825862647,3,0.12091846724242948
