model,model_name,loso_mean,loso_std,loso_failures,loro_mean,loro_std,loro_failures,domain_gap,stability_status
enhanced,PASE-Net,82.97695581659733,0.12981164318737085,0,83.0195205035636,0.10373678708836195,0,0.0425646869662728,Excellent
cnn,CNN,84.17867456650978,2.227883178516387,0,79.64613375463611,8.694359907060436,0,4.532540811873673,Good
bilstm,BiLSTM,80.26789052417894,1.9681920248082863,0,78.88392911392884,3.95133572635788,0,1.3839614102500946,Excellent
conformer,Conformer,40.33152666345608,34.528618140450945,3,84.11978234853903,3.5423017643599413,0,43.78825568508295,Unstable
